Time,X,Y,Z
1184389.063,1.729,4.425,6.333
1184389.082,1.729,4.425,6.333
1184389.116,1.729,4.425,6.333
1184389.135,1.729,4.425,6.333
1184389.154,1.729,4.425,6.333
1184389.173,0.541,5.177,7.823
1184389.192,-0.323,5.893,7.781
1184389.211,-0.257,5.51,7.042
1184389.23,0.474,4.71,7.148
1184389.249,1.081,4.541,7.454
1184389.268,1.657,4.554,7.914
1184389.287,2.115,4.614,8.022
1184389.306,1.869,4.641,8.087
1184389.325,1.913,4.37,8.005
1184389.344,1.92,4.371,7.623
1184389.362,1.358,4.506,7.926
1184389.381,1.138,4.749,8.337
1184389.4,1.363,4.981,8.427
1184389.419,1.835,4.949,8.934
1184389.438,2.267,4.719,9.718
1184389.457,2.766,4.487,10.655
1184389.476,2.047,4.948,8.532
1184389.495,3.05,4.04,7.585
1184389.514,3.146,3.305,5.992
1184389.533,2.879,3.384,6.076
1184389.552,2.231,3.883,7.224
1184389.571,1.362,4.359,8.439
1184389.59,3.831,3.657,8.106
1184389.609,0.924,5.315,10.871
1184389.628,1.104,5.421,10.127
1184389.647,2.009,4.681,10.102
1184389.666,1.962,4.674,8.98
1184389.685,1.473,4.939,8.211
1184389.704,1.261,4.558,8.378
1184389.723,1.625,4.141,8.238
1184389.741,2.296,4.058,8.217
1184389.76,3.179,3.975,8.464
1184389.779,4.147,4.055,8.903
1184389.798,4.404,3.926,8.83
1184389.817,3.416,3.921,8.562
1184389.836,2.586,3.915,7.716
1184389.855,1.271,3.815,7.415
1184389.874,0.897,4.019,7.287
1184389.893,-1.044,4.341,9.814
1184389.912,-2.061,5.114,8.473
1184389.931,0.029,4.445,8.45
1184389.95,1.29,4.128,9.352
1184389.969,1.101,5.024,9.26
1184389.988,1.152,4.354,7.155
1184390.007,1.27,3.843,6.028
1184390.026,1.691,3.657,6.752
1184390.045,1.981,4.049,8.14
1184390.064,2.954,4.381,10.057
1184390.083,4.012,4.394,10.739
1184390.102,4.082,4.46,10.032
1184390.12,3.004,4.466,8.763
1184390.139,2.288,4.544,8.078
1184390.158,1.34,4.481,7.556
1184390.177,0.262,4.504,6.488
1184390.196,-0.895,4.799,6.934
1184390.215,-1.337,5.236,8.028
1184390.234,-0.042,5.06,8.159
1184390.253,0.944,5.119,8.291
1184390.272,1.402,4.736,9.134
1184390.291,2.074,4.299,8.671
1184390.31,2.907,3.807,8.507
1184390.329,3.156,3.724,9.402
1184390.348,3.252,3.907,9.725
